Topic,topic_size,Name,Representation,Representative_Docs,top_terms
29,38,29_arranging_counting_assist_rats,"['arranging', 'counting', 'assist', 'rats', 'rattus', 'at', 'the', 'plague', 'and', 'hospital']","['A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital 3) Assist At The Arranging And Counting Of The Rats M. rattus. A plague hospital Spread By Direct Personal Infection 48s clothing. A plague hospital Spread By Direct Personal Infection 48s clothing. medical treatment Was Very Popular And Was Very Generally Accepted general. disease Treatment Of Diseases In Villages persons. disease Was Due In Most Cases To Human Agency human agency.', 'M. rattus 3) Assist At The Arranging And Counting Of The Rats men. M. rattus 3) Assist At The Arranging And Counting Of The Rats men. A plague hospital 3) Assist At The Arranging And Counting Of The Rats All animals.', 'disease 3) Assist At The Arranging And Counting Of The Rats M. rattus. disease 3) Assist At The Arranging And Counting Of The Rats M. rattus. disease 3) Assist At The Arranging And Counting Of The Rats M. rattus. disease 3) Assist At The Arranging And Counting Of The Rats M. rattus. disease 3) Assist At The Arranging And Counting Of The Rats men.']","arranging, counting, assist, rats, rattus, at, the, plague"
30,37,30_ameer_hossein_hsenwi_affection,"['ameer', 'hossein', 'hsenwi', 'affection', 'severe', 'hsipaw', 'description', 'pest', 'south', 'nderpest']","['Ameer Hossein Due To Severe Outbreak Of Captain Illington. Ameer Hossein Due To Severe Outbreak Of birbutia. Ameer Hossein Due To Severe Outbreak Of Amherst Districts. Algerian cattle Attack pest.', 'Ameer Hossein Act As A Demulcent, Expectorant And Laxative Ameer Hossein. Ameer Hossein Amount Of Dysphagia Ameer Hossein. Ameer Hossein Cost Of Medicines And Instruments And Disinfectants 35.25 per cent) had reduction times of min. and over.', 'birbutia Cost Of Ameer Hossein. medicines Cost Of Ameer Hossein. A malner Cost Of Ameer Hossein. Entally hospital Cost Of Ameer Hossein.']","ameer, hossein, hsenwi, affection, severe, hsipaw, description, pest"
31,37,31_inch_eight_an_lasted,"['inch', 'eight', 'an', 'lasted', 'hours', 'attack', 'inversion', 'of', 'autopsies', 'made']","['eight of an inch 2s eight of an inch.', 'eight of an inch Reduced eight of an inch. eight of an inch Always Greater Than eight of an inch. eight of an inch Containing Less Than Per Cent milk stage. inversion Greater Than eight of an inch.', 'eight of an inch Pay. Rs eight of an inch. eight of an inch Pay. Rs eight of an inch. eight of an inch Pay. Rs eight of an inch. eight of an inch 1) Prepare The Disinfecting Solutions To Be Used During The Day eight of an inch.']","inch, eight, an, lasted, hours, attack, inversion, of"
32,37,32_cholerastricken_pilgrims_from_bengal,"['cholerastricken', 'pilgrims', 'from', 'bengal', 'round', 'ganja', 'bombay', 'generation', '16th', 'assam']","['Bengal round ganja Cholerastricken Pilgrims From west. Bengal round ganja Cholerastricken Pilgrims From west. Bhang Is Available For 16th generation Assam culture. Bengal round ganja Cholerastricken Pilgrims From States of Rajputana.', 'disease Cholerastricken Pilgrims From pargan. disease Cholerastricken Pilgrims From Meiktila Districts. disease Cholerastricken Pilgrims From Minbu. Algerian cattle Cholerastricken Pilgrims From pargan.', 'Bengal round ganja Cholerastricken Pilgrims From tined grubber. Bengal round ganja Cholerastricken Pilgrims From tined grubber. Bengal round ganja Cholerastricken Pilgrims From tined grubber. Bhang Cholerastricken Pilgrims From j. Bhang Cholerastricken Pilgrims From j. Bhang Cholerastricken Pilgrims From birbutia. Bhang Cholerastricken Pilgrims From birbutia. Bhang Cholerastricken Pilgrims From 2nd nagpada kamathlpura.']","cholerastricken, pilgrims, from, bengal, round, ganja, bombay, generation"
33,37,33_alexandria_train_according_classified,"['alexandria', 'train', 'according', 'classified', 'petri', 'held', 'preliminary', 'liable', 'fine', 'plate']","['disease Spread Alexandria. disease Spread Alexandria.', 'Alexandria Bombay Alexandria. Alexandria Pay. Rs Rs. Alexandria Despatched From The Nasik Camp To Peshawar Alexandria.', 'Alexandria Intact With Alexandria.']","alexandria, train, according, classified, petri, held, preliminary, liable"
34,36,34_tracts_agency_mills_after,"['tracts', 'agency', 'mills', 'after', 'jute', 'licensed', 'pence', 'set', 'fillies', 'rs']","['Agency Tracts After c. Agency Tracts After c. Agency Tracts After c. Agency Tracts After c. Agency Tracts After c. Agency Tracts After c. Agency Tracts After c. Agency Tracts After c. Agency Tracts After 28 fatal. Agency Tracts After 28 fatal. Agency Tracts After 28 fatal. 2nd grade Veterinary Assistant Abstract Of c. 2nd grade Veterinary Assistant Abstract Of c. shillong Printed At assam government press. shillong Printed At assam government press.', 'Agency Tracts After two. Agency Tracts After two.', 'Agency Tracts Indian Agency Tracts. Agency Tracts Indian Agency Tracts. Agency Tracts Indian Agency Tracts. Agency Tracts Indian Agency Tracts.']","tracts, agency, mills, after, jute, licensed, pence, set"
35,36,35_pyapo_while_increase_returned,"['pyapo', 'while', 'increase', 'returned', 'satisfactory', 'cases', 'very', 'district', 'success', 'successful']","['general While Pyapo N District Returned The Very Satisfactory Increase Of Cases success.', 'Cost of each Successful Case While Pyapo N District Returned The Very Satisfactory Increase Of Cases per. Cost of each Successful Case While Pyapo N District Returned The Very Satisfactory Increase Of Cases per. secondary While Pyapo N District Returned The Very Satisfactory Increase Of Cases per.', 'v - g While Pyapo N District Returned The Very Satisfactory Increase Of Cases general.']","pyapo, while, increase, returned, satisfactory, cases, very, district"
36,34,36_accomplished_ccination_are_coreference,"['accomplished', 'ccination', 'are', 'coreference', 'thans', 'nation', 'nated', 'by', 'persons', 'protection']","['v - g Ccination persons.', 'v - g Are Accomplished By Agra-Meerut. v - g Are Accomplished By Jamkhandi. v - g Are Accomplished By Sa ngli. v - g Are Accomplished By j. N Are Accomplished By Cost of each Successful Case.', 'v - g Are Accomplished By than.']","accomplished, ccination, are, coreference, thans, nation, nated, by"
37,34,37_fallopian_tubes_whom_supplied,"['fallopian', 'tubes', 'whom', 'supplied', 'boiled', 'shaken', 'am', 'pm', 'arm', 'method']","['Fallopian tubes Collected In Fallopian tubes.', 'Fallopian tubes Arm Method Fallopian tubes.', 'Fallopian tubes Cost Of Fallopian tubes.']","fallopian, tubes, whom, supplied, boiled, shaken, am, pm"
38,34,38_atoxyl_administered_arsenious_acid,"['atoxyl', 'administered', 'arsenious', 'acid', 'arsenic', 'antimony', 'infusion', 'cc', 'emetic', 'arsenate']","['arsenious acid Arsenic atoxyl. arsenious acid Administered atoxyl. atoxyl Arsenic arsenious acid.', '19th Administered gms Arsenious Acid. 13th Administered c.c. Atoxyl. 17th Administered c.c. Atoxyl. 11th day Administered gms Arsenious Acid. 1st day c.c Administered Atoxyl. 1st October Administered gm Arsenious Acid. general Blood Examination Of The Person Infected Anaplasma marginale Theiler. 15 c.c.) doses Administered gms Arsenious Acid. 5 c.c.) doses Administered c.c. Atoxyl. 28 fatal Administered c.c. Atoxyl. 3 c.c.) doses Administered gm Arsenious Acid.', 'Arsenious Acid Administered 3 c.c.) doses. Arsenious Acid Administered 3 c.c.) doses. Arsenious Acid Administered 3 c.c.) doses. Arsenious Acid Administered 15 c.c.) doses. Arsenious Acid Administered 15 c.c.) doses. Arsenious Acid Administered 15 c.c.) doses. Atoxyl Administered 28 fatal. Atoxyl Administered 28 fatal. Atoxyl Administered 17th c.c. Atoxyl Administered 17th c.c. Atoxyl Administered 1st day c.c. Atoxyl Administered 1st day c.c. Atoxyl Administered 13th c.c. Atoxyl Administered 13th c.c. Atoxyl Administered 5 c.c.) doses. Atoxyl Administered 5 c.c.) doses. Anaplasma marginale Theiler Blood Examination Of The Person Infected AYRSHIRE-SINDHI COW No. Anaplasma marginale Theiler Blood Examination Of The Person Infected AYRSHIRE-SINDHI COW No. Arsenious Acid Administered 1st October. Arsenious Acid Administered 1st October. Arsenious Acid Administered 19th gms. Arsenious Acid Administered 19th gms. Arsenious Acid Administered 11th day gms. Arsenious Acid Administered 11th day gms. Arsenious Acid Administered 1st day gm. Arsenious Acid Administered 28 fatal. general Fed Well two.']","atoxyl, administered, arsenious, acid, arsenic, antimony, infusion, cc"
39,33,39_express_inspect_opinion_will,"['express', 'inspect', 'opinion', 'will', 'only', 'an', 'on', 'labvalue', 'and', 'divisions']","['Baby Week celebrations V. O. Will Only Inspect And Express An Opinion On A per.', 'W. L V. O. Will Only Inspect And Express An Opinion On A 2nd nagpada kamathlpura.', 'A plague hospital V. O. Will Only Inspect And Express An Opinion On A A case.']","express, inspect, opinion, will, only, an, on, labvalue"
40,32,40_bombay_press_printed_presidency,"['bombay', 'press', 'printed', 'presidency', 'central', 'government', 'admitted', 'observatory', 'into', 'printing']","['bombay Printed At The Central Press central press.', 'bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Printed At The Government Central Press central press. bombay Chaudhry Ghulam Qadir, Marketing Officer, Was Appointed Superintendent In An Officiating Capacity government printing. bombay Chaudhry Ghulam Qadir, Marketing Officer, Was Appointed Superintendent In An Officiating Capacity stationery.', 'central press At bombay.']","bombay, press, printed, presidency, central, government, admitted, observatory"
41,32,41_tour_aitchison_mr_days,"['tour', 'aitchison', 'mr', 'days', 'day', 'was', 'miles', 'for', 'on', 'travelled']","['Ameer Hossein Mr. Aitchison Was On Tour For Days day. African grass Mr. Aitchison Was On Tour For Days day.', 'day Mr. Aitchison Was On Tour For Days Argyle Road. day Mr. Aitchison Was On Tour For Days Argyle Road. day Mr. Aitchison Was On Tour For Days Argyle Road. day Mr. Aitchison Was On Tour For Days Abdool Majid Khan. day Mr. Aitchison Was On Tour For Days Babu Hem Chandra Sen held charge of the Gauhati Circle during the year under report. He was on tour.', 'W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. W. L Mr. Aitchison Was On Tour For Days day. A. Ramachandra Ayyar Spent day. A. Ramachandra Ayyar Spent day. A. Ramachandra Ayyar Spent day. A. Ramachandra Ayyar Spent day. A. Ramachandra Ayyar Time Required For Inspection 2nd grade Veterinary Assistant. A. Ramachandra Ayyar Time Required For Inspection 2nd grade Veterinary Assistant. W. L Time Required For Inspection 2nd grade Veterinary Assistant.']","tour, aitchison, mr, days, day, was, miles, for"
42,32,42_healthy_vessels_portion_villous,"['healthy', 'vessels', 'portion', 'villous', 'cuticular', 'presents', 'normal', 'colour', 'is', 'urethritis']","['Healthy vessels Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents patients. 96.7 per cent 1st Class Vaccinators persons.', 'Healthy vessels Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents 96.7 per cent.', 'Chronic Urethritis Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents Healthy vessels. Chronic Urethritis Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents Healthy vessels. Chronic Urethritis Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents Healthy vessels. Chronic Urethritis Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents Healthy vessels. Chronic Urethritis Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents Healthy vessels. mouth disease Base-orange Exudation A dark room. mouth disease Base-orange Exudation A dark room. Angina Pectoris Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents Healthy vessels. Angina Pectoris Cuticular Portion Healthy, The Villous Portion Is Normal In Colour, And Presents Healthy vessels. spots Action Of The Alkaloids Of The Papaveraceae Upon The Isolated Frog S Healthy vessels. body Well-nourished Absent. Air temperature Ranged Between And F. From May 4th To Th Absent. Abbe refractometer Bright Healthy vessels. barred ventilator Had A Musty Smell Healthy vessels. motions Base-orange Exudation Healthy vessels. lips A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots Healthy vessels. face Pale Healthy vessels. Acute Enteritis Loose Healthy vessels. Abscess of Liver (multiple All Attempts At Artificial Cultivation Of Have As Yet Failed To Give Absent. subcutaneous Moist Healthy vessels. 1st Class Congested Healthy vessels.']","healthy, vessels, portion, villous, cuticular, presents, normal, colour"
43,29,43_peritonitis_6th_died_day,"['peritonitis', '6th', 'died', 'day', '6co', 'on', 'compulsory', 'spicule', 'irons', 'the']","['two Died On The 6th Day Peritonitis 6co.', 'W. L Died On The 6th Day Peritonitis 4 fatal. W. L Died On The 6th Day Peritonitis two.', 'W. L Died On The 6th Day Peritonitis 6co.']","peritonitis, 6th, died, day, 6co, on, compulsory, spicule"
44,29,44_castrations_accomplished_burdizzo_cast,"['castrations', 'accomplished', 'burdizzo', 'cast', 'are', 'castrator', 'bullock', 'by', 'piroplasmosis', 'castrated']","['cast Are Accomplished By castrations. cast Are Accomplished By castrations.', 'castrations Are Accomplished By A bullock suffering from Piroplasmosis. castrations Are Accomplished By A bullock suffering from Piroplasmosis. castrations Are Accomplished By A bullock suffering from Piroplasmosis. castrations Are Accomplished By A bullock suffering from Piroplasmosis. castrations Are Accomplished By A bullock suffering from Piroplasmosis. castrations Are Accomplished By A bullock suffering from Piroplasmosis. castrations Are Accomplished By A bullock suffering from Piroplasmosis. castrations Are Accomplished By A bullock suffering from Piroplasmosis. treated for contagious diseases For non - contagious diseases.', 'castrations Are Accomplished By 96.7 per cent. castrations Are Accomplished By 96.7 per cent. castrations Are Accomplished By 96.7 per cent.']","castrations, accomplished, burdizzo, cast, are, castrator, bullock, by"
45,29,45_riding_encouraged_reasons_been,"['riding', 'encouraged', 'reasons', 'been', 'two', 'has', 'for', 'inspector', 'medical', 'tha']","['v - g Riding Has Been Encouraged For Two Reasons cast.', 'Hoosain Shah Riding Has Been Encouraged For Two Reasons I.0. W. L Riding Has Been Encouraged For Two Reasons I.0.', 'A Medical Inspector Riding Has Been Encouraged For Two Reasons A Medical Inspector. A Medical Inspector Riding Has Been Encouraged For Two Reasons A Medical Inspector. A Medical Inspector Riding Has Been Encouraged For Two Reasons A Medical Inspector. Captain Grantham Riding Has Been Encouraged For Two Reasons A Medical Inspector. glanders Due To Severe Outbreak Of Remount Depo t. Commandant Riding Has Been Encouraged For Two Reasons A Medical Inspector. 2nd grade Veterinary Assistant Should Be Appointed To Depo t.']","riding, encouraged, reasons, been, two, has, for, inspector"
46,28,46_camp_graze_limits_within,"['camp', 'graze', 'limits', 'within', 'allowed', 'camps', 'the', 'to', 'houses', 'followers']","['imperial Allowed To Graze Within The Limits Of The Camp Afghanistan.', 'camp Shall Be Deemed To Be A Place Of Observation Within The Meaning place of observation. number of visitors Allowed To Graze Within The Limits Of The Camp camp. visitors Allowed To Graze Within The Limits Of The Camp camp. visitor or pass-holder Allowed To Graze Within The Limits Of The Camp camp. visitor Allowed To Graze Within The Limits Of The Camp camp. permanent pass-holders Allowed To Graze Within The Limits Of The Camp camp. person or persons Allowed To Graze Within The Limits Of The Camp camp.', 'Dhakji Purbhu s Wadi Allowed To Graze Within The Limits Of The Camp camp. Belvedere Road Evacuated To Wari Bunder Camp camp. Ambewadi Allowed To Graze Within The Limits Of The Camp camp. pargan Allowed To Graze Within The Limits Of The Camp camp. pargan Came To Wari Bunder Camp camp. houses Advised To Evacuate houses. daughter Fell Sick And Died Also Of A plague hospital. 1) Hoplocephalus curtus, (2) Echis carinata, (3) Trimeresurus gramineus and (4) Crotalus adamanteus Allowed To Graze Within The Limits Of The Camp camp. d Allowed To Graze Within The Limits Of The Camp camp. A plague hospital Accompanied By Breaking Down sheds. 2nd nagpada kamathlpura Persuaded To Come To Wari Bunder Camp camp. Argyle Road Allowed To Graze Within The Limits Of The Camp camp. N Allowed To Graze Within The Limits Of The Camp water-supply and drain village sites.']","camp, graze, limits, within, allowed, camps, the, to"
47,27,47_excluding_towns_municipal_district,"['excluding', 'towns', 'municipal', 'district', 'lunatics', 'criminal', 'farcy', 'both', 'districts', 'glanders']","['glanders District Excluding Municipal Towns birbutia. glanders District Excluding Municipal Towns birbutia. glanders District Excluding Municipal Towns tined grubber. glanders District Excluding Municipal Towns tined grubber. farcy District Excluding Municipal Towns c. farcy District Excluding Municipal Towns tined grubber. farcy District Excluding Municipal Towns N. farcy District Excluding Municipal Towns Benares. glanders District Excluding Municipal Towns d. glanders District Excluding Municipal Towns c. glanders District Excluding Municipal Towns Benares.', 'general District Excluding Municipal Towns general.', 'N District Excluding Municipal Towns j.']","excluding, towns, municipal, district, lunatics, criminal, farcy, both"
48,27,48_bowels_oz_freely_till,"['bowels', 'oz', 'freely', 'till', 'twice', 'opened', 'day', 'are', 'doses', 'length']","['2nd nagpada kamathlpura Oz. Doses Twice A Day Till Bowels Are Freely Opened Abyssinia.', 'lactation Oz. Doses Twice A Day Till Bowels Are Freely Opened day.', 'march Oz. Doses Twice A Day Till Bowels Are Freely Opened day. march Oz. Doses Twice A Day Till Bowels Are Freely Opened Contagious Disease Act was in operation.']","bowels, oz, freely, till, twice, opened, day, are"
49,25,49_dark_room_color_description,"['dark', 'room', 'color', 'description', 'urethritis', 'plotosus', 'signsymptom', 'diagnosticprocedure', 'chronic', 'pectoris']","['A dark room Description Of Color. A dark room Description Of Color. A dark room Description Of Color. A dark room Description Of Color. A dark room Description Of Color. A dark room Description Of Color. A dark room Description Of Color. A dark room Description Of Color. A dark room Description Of Color. general Property general. general Property general. general Property general. pale purple Description Of Color. concentrated Property general. crystalline flakes After general. light purple Description Of Color. crystals After Sign_symptom. bright purple Description Of Color. pure Property general. blue Property Sign_symptom. African grass Description Of Color.', 'A dark room DUE TO paralysis. A dark room DUE TO leprosy. A dark room Control Of Chronic Urethritis. A dark room Useful In Diabetes Chronic Urethritis.', 'A dark room Spread A dark room. A dark room Distribution Of A dark room.']","dark, room, color, description, urethritis, plotosus, signsymptom, diagnosticprocedure"
50,25,50_gained_weight_lbs_required,"['gained', 'weight', 'lbs', 'required', 'akbar', 'th', 'rudraya', 'period', 'khan', 'neutralise']","['Gained weight Had Lost Weight In Jail Gained weight. Gained weight Had Gained Weight In Jail Gained weight.', 'Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Gained weight As Required Lbs Gained weight. Admission and Discharge Book Admitted Into Gained weight. Admission and Discharge Book Admitted Into Gained weight. Admission and Discharge Book Admitted Into Gained weight. discharge Discharged Gained weight.', 'general After Gained weight.']","gained, weight, lbs, required, akbar, th, rudraya, period"
51,25,51_promotion_major_accelerated_captain,"['promotion', 'major', 'accelerated', 'captain', 'period', 'from', 'general', 'to', 'medullation', 'establishment']","['establishment Accelerated Promotion Period From Captain To Major Darjeeling Circle. inspectors Accelerated Promotion Period From Captain To Major American Consul General in Calcutta.', 'j Accelerated Promotion Period From Captain To Major c.', 'population Accelerated Promotion Period From Captain To Major general. Agency Tracts Accelerated Promotion Period From Captain To Major general. Absent Addition To The Number general.']","promotion, major, accelerated, captain, period, from, general, to"
52,24,52_quinine_did_regularly_take,"['quinine', 'did', 'regularly', 'take', 'qi', 'aqa', 'ya', 'not', 'abyssinia', 'hmosozic']","['Aqa qi ya Did Not Take Quinine Regularly Aqa qi ya. Aqa qi ya Did Not Take Quinine Regularly Aqa qi ya. Aqa qi ya Did Not Take Quinine Regularly Aqa qi ya. Aqa qi ya Did Not Take Quinine Regularly Aqa qi ya. Aqa qi ya Did Not Take Quinine Regularly Aqa qi ya. Aqa qi ya Did Not Take Quinine Regularly Aqa qi ya. persons Possible Subjects Of blackquarter serum. B.W.F. corpuscles R. Could Hardly Be Felt, Small, Very Weak And Thready B.W.F. corpuscles. Anti-Malarial Operations at Mian Mir Effect On B.W.F. corpuscles.', 'Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. Abyssinia Did Not Take Quinine Regularly Aqa qi ya. free extract per cent cao per cent Blood Examination Of The Person Infected B.W.F. corpuscles.', 'tetanus Did Not Take Quinine Regularly Aqa qi ya. tetanus Did Not Take Quinine Regularly Aqa qi ya.']","quinine, did, regularly, take, qi, aqa, ya, not"
53,23,53_november_october_th_5th,"['november', 'october', 'th', '5th', 'battery', 'drought', 'to', 'meeting', 'transfer', 'dadms']","['day 5th October To Th November battery of artillery.', 'Healthy vessels 5th October To Th November group. A malner 5th October To Th November group.', 'c Were In c. c 5th October To Th November c.']","november, october, th, 5th, battery, drought, to, meeting"
54,22,54_balfour_botany_manual_inguinal,"['balfour', 'botany', 'manual', 'inguinal', 'right', 'femoral', 'cervical', 'axillary', 'buboes', 'multiple']","['right axilla Balfour S Manual Of Botany Bubo absorbed. right iliac Balfour S Manual Of Botany Severe pain. right ear Balfour S Manual Of Botany Bubo opened. right femoral Balfour S Manual Of Botany Right Femoral and inguinal. inguinal Balfour S Manual Of Botany Left Inguinal.', 'parotid Balfour S Manual Of Botany multiple. r. inguinal Balfour S Manual Of Botany multiple. l. axillary Balfour S Manual Of Botany multiple. l. femoral Balfour S Manual Of Botany multiple. r. axillary Balfour S Manual Of Botany multiple. cervical i Balfour S Manual Of Botany multiple. l. inguinal Balfour S Manual Of Botany multiple. r. femoral Balfour S Manual Of Botany multiple. general Balfour S Manual Of Botany multiple. Abyssinia Aggregate Mortality Of I.0.', 'right inguinal Balfour S Manual Of Botany left cervical. right inguinal Balfour S Manual Of Botany multiple. right inguinal Balfour S Manual Of Botany right parotid. right inguinal Balfour S Manual Of Botany right femoral. right inguinal Balfour S Manual Of Botany no Buboes. right inguinal Balfour S Manual Of Botany left axilla. right inguinal Balfour S Manual Of Botany left parotid. right inguinal Balfour S Manual Of Botany left femoral. right inguinal Balfour S Manual Of Botany right cervical.']","balfour, botany, manual, inguinal, right, femoral, cervical, axillary"
55,21,55_vagus_irritation_right_left,"['vagus', 'irritation', 'right', 'left', 'coil', 'entire', 'atropine', 'electrical', 'needle', 'thrusting']","['ligature The Right Vagus right vagus. ligature The Right Vagus right vagus. irritation Central End Of Right Vagus When Dog Well Under, But Not In central end of right vagus. irritation Artificial Pupil Formed AYRSHIRE-SINDHI COW No. irritation Central End Of The Cat Vagus cat vagus. subcutaneous Anus anus.', 'peripheral end Irritation Of the peripheral end of the right vagus. right vagus Ligature And Division Of the right vagus. right vagus Irritation Of the right vagus. right vagus As For Fig the right vagus. right carotid artery Clamping the right carotid artery.', 'peripheral end Irritation right vagus. right vagus Ligatured right vagus. right vagus Electrical Irritation right vagus. right vagus Mechanical Irritation right vagus. right vagus Intact With right vagus.']","vagus, irritation, right, left, coil, entire, atropine, electrical"
56,21,56_goods_manufactured_store_materials,"['goods', 'manufactured', 'store', 'materials', 'asylum', 'raw', 'rs', 'value', 'end', 'purposes']","['manufactured goods Value Of Manufactured Goods Made Over To Asylum For Asylum Purposes Rs a. p. raw materials Value Of Raw Materials In The Store At The End Of The Rs. a. p. African grass Value Of Plant And Machinery In Store At The End Of The Rs. a. p.', 'manufactured goods Value Of Manufactured Goods Made Over To Asylum For Asylum Purposes Rs. manufactured goods Value Of Manufactured Goods Made Over To Asylum For Asylum Purposes Rs. raw materials Value Of Raw Materials In Store At The End Of The Year Rs. raw materials Value Of Raw Materials In Store At The End Of The Year Rs.', 'manufactured goods Value Of Manufactured Goods Made Over To Asylum For Asylum Purposes Rs. manufactured goods Value Of Manufactured Goods Made Over To Asylum For Asylum Purposes Rs. raw materials Value Of Raw Materials In Store On 1st January Rs. raw materials Value Of Raw Materials In Store On 1st January Rs. manufactured goods Value Of Manufactured Goods In Store At The End Of The Year Rs. manufactured goods Value Of Manufactured Goods In Store On 1st January Rs. raw materials Value Of Raw Materials In Store At The End Of The Year Rs.']","goods, manufactured, store, materials, asylum, raw, rs, value"
57,21,57_women_unregistered_contracted_afghanistan,"['women', 'unregistered', 'contracted', 'afghanistan', 'disease', 'venereal', 'unlicensed', 'who', 'cantonments', 'from']","['Afghanistan Disease unregistered women.', 'Afghanistan Contracted From unregistered women.', 'unregistered women Disease Afghanistan. unregistered women Disease Afghanistan. unregistered women Disease Afghanistan. unlicensed women All Attempts At Artificial Cultivation Of Have As Yet Failed To Give disease.']","women, unregistered, contracted, afghanistan, disease, venereal, unlicensed, who"
58,21,58_illington_captain_vis_ultimate,"['illington', 'captain', 'vis', 'ultimate', 'alleged', 'expression', 'complication', 'cause', 'spotting', 'amentia']","['Captain Illington Cause (alleged Aden ulcers. Captain Illington Cause (alleged swollen. Captain Illington Cause (alleged solid.', 'Captain Illington Effect On B.W.F. corpuscles.', 'insanity After Treatment Captain Illington.']","illington, captain, vis, ultimate, alleged, expression, complication, cause"
59,21,59_6co_imprisonment_months_dark,"['6co', 'imprisonment', 'months', 'dark', 'room', 'rupee', 'clastic', 'freeze', 'limiting', 'model']","['6co Extends Over A Period Of 6co.', '6co Vaccine Operations Were Carried On For 6co.', 'general Do 6co.']","6co, imprisonment, months, dark, room, rupee, clastic, freeze"
